Gene stable ID	Gene stable ID version	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	Source of gene name	NCBI gene ID	UniProtKB Gene Name ID	EntrezGene transcript name ID
ENSCAFG00000004617	ENSCAFG00000004617.4	1	110525722	110528440	APOE	VGNC Symbol	476438		
ENSCAFG00000022541	ENSCAFG00000022541.1	1	112668218	112668330	U6	RFAM			
ENSCAFG00000004615	ENSCAFG00000004615.5	1	110520198	110631412	APOC1	VGNC Symbol	476437	P56595	
ENSCAFG00000004614	ENSCAFG00000004614.4	1	110507489	110509647	APOC4	VGNC Symbol			
ENSCAFG00000004610	ENSCAFG00000004610.4	1	110504815	110506961	APOC2	VGNC Symbol	442969	P12278	
ENSCAFG00000004041	ENSCAFG00000004041.5	1	108082185	108104934	ZSWIM9	VGNC Symbol	102153879	F1PID7	
ENSCAFG00000042943	ENSCAFG00000042943.1	1	108067826	108071265					
ENSCAFG00000043942	ENSCAFG00000043942.1	1	108040101	108053200			484411		
ENSCAFG00000000644	ENSCAFG00000000644.4	1	47483942	47579831	SYNJ2	VGNC Symbol			
ENSCAFG00000043390	ENSCAFG00000043390.1	1	47480678	47483128					
ENSCAFG00000030575	ENSCAFG00000030575.2	1	115473239	115495296	ZNF570	HGNC Symbol	100856587		
ENSCAFG00000042435	ENSCAFG00000042435.1	1	115463805	115465806					
ENSCAFG00000029167	ENSCAFG00000029167.3	1	115414452	115449306	ZNF569	HGNC Symbol			
ENSCAFG00000029414	ENSCAFG00000029414.2	1	108003633	108058573			491519		
ENSCAFG00000030032	ENSCAFG00000030032.2	1	107947573	107957921	ZNF114	VGNC Symbol	100684128	J9P6A7	
ENSCAFG00000004036	ENSCAFG00000004036.5	1	107905070	107936963	CCDC114	VGNC Symbol	484409		
ENSCAFG00000000627	ENSCAFG00000000627.5	1	47343668	47455937	SNX9	VGNC Symbol	476254		
ENSCAFG00000000624	ENSCAFG00000000624.4	1	47297686	47298301					
ENSCAFG00000004034	ENSCAFG00000004034.4	1	107901781	107905619	EMP3	VGNC Symbol	484408	E2RAX5	
ENSCAFG00000043445	ENSCAFG00000043445.1	1	47224506	47229717					
ENSCAFG00000004608	ENSCAFG00000004608.5	1	110471559	110500175	CLPTM1	VGNC Symbol	484455	J9NVJ3	
ENSCAFG00000031993	ENSCAFG00000031993.2	1	115286493	115348660	ZNF875	VGNC Symbol	484542		
ENSCAFG00000031993	ENSCAFG00000031993.2	1	115286493	115348660	ZNF875	VGNC Symbol	100855817		
ENSCAFG00000026869	ENSCAFG00000026869.1	1	115272500	115272606	U6	RFAM			
ENSCAFG00000030182	ENSCAFG00000030182.2	1	115209481	115249425	ZNF383	VGNC Symbol	484541	J9NXK8	
ENSCAFG00000000618	ENSCAFG00000000618.4	1	46943590	47216320	ZDHHC14	VGNC Symbol	612148		
ENSCAFG00000028896	ENSCAFG00000028896.2	1	46941908	46943074					
ENSCAFG00000023983	ENSCAFG00000023983.3	1	115186126	115205821			484540		
ENSCAFG00000000616	ENSCAFG00000000616.4	1	46872312	46901322	TMEM242	VGNC Symbol	612140	F1PBI4	
ENSCAFG00000033408	ENSCAFG00000033408.2	1	46823912	46859865					
ENSCAFG00000044537	ENSCAFG00000044537.1	1	115138122	115141972					
ENSCAFG00000046847	ENSCAFG00000046847.1	1	115105400	115107394					
ENSCAFG00000030354	ENSCAFG00000030354.2	1	115088302	115090482					
ENSCAFG00000048356	ENSCAFG00000048356.1	1	115048079	115050223					
ENSCAFG00000000608	ENSCAFG00000000608.5	1	46372767	46799104	ARID1B	VGNC Symbol			
ENSCAFG00000005986	ENSCAFG00000005986.4	1	115041038	115045660					
ENSCAFG00000043652	ENSCAFG00000043652.1	1	46154472	46159040					
ENSCAFG00000027284	ENSCAFG00000027284.1	1	46024065	46024166	U6	RFAM			
ENSCAFG00000046622	ENSCAFG00000046622.1	1	45885710	45907457					
ENSCAFG00000044586	ENSCAFG00000044586.1	1	45880937	45884521					
ENSCAFG00000044298	ENSCAFG00000044298.1	1	45733820	45768611					
ENSCAFG00000005981	ENSCAFG00000005981.4	1	115007134	115019800	WDR87	VGNC Symbol			
ENSCAFG00000050015	ENSCAFG00000050015.1	1	45636056	45665991					
ENSCAFG00000042237	ENSCAFG00000042237.1	1	114944003	114944232	Metazoa_SRP	RFAM			
ENSCAFG00000049764	ENSCAFG00000049764.1	1	45538284	45572832					
ENSCAFG00000048185	ENSCAFG00000048185.1	1	45520708	45537391					
ENSCAFG00000040090	ENSCAFG00000040090.2	1	45250492	45252965					
ENSCAFG00000036293	ENSCAFG00000036293.2	1	55768769	55790606					
ENSCAFG00000004597	ENSCAFG00000004597.6	1	110436662	110466809	RELB	VGNC Symbol	484454		
ENSCAFG00000005026	ENSCAFG00000005026.6	1	112662429	112697403	HNRNPUL1	VGNC Symbol	476452		
ENSCAFG00000005015	ENSCAFG00000005015.5	1	112650467	112659650	CCDC97	VGNC Symbol	484489	E2RPT5	
ENSCAFG00000005973	ENSCAFG00000005973.6	1	114770741	114867395	SIPA1L3	VGNC Symbol			
ENSCAFG00000004029	ENSCAFG00000004029.4	1	107879923	107900126	TMEM143	VGNC Symbol	612068		
ENSCAFG00000000866	ENSCAFG00000000866.6	1	55726819	55736505	DACT2	VGNC Symbol	612487		
ENSCAFG00000044996	ENSCAFG00000044996.1	1	55700834	55704785					
ENSCAFG00000043164	ENSCAFG00000043164.1	1	55624152	55628751					
ENSCAFG00000047049	ENSCAFG00000047049.1	1	55621747	55623433					
ENSCAFG00000032080	ENSCAFG00000032080.2	1	55593796	55600077					
ENSCAFG00000048783	ENSCAFG00000048783.1	1	55591095	55592427					
ENSCAFG00000004020	ENSCAFG00000004020.5	1	107872146	107878542	SYNGR4	VGNC Symbol			
ENSCAFG00000004587	ENSCAFG00000004587.4	1	110412340	110435198	CLASRP	HGNC Symbol	476436		
ENSCAFG00000000589	ENSCAFG00000000589.5	1	45128958	45186510	NOX3	VGNC Symbol	484046	A7E3L1	
ENSCAFG00000049869	ENSCAFG00000049869.1	1	45093740	45101089					
ENSCAFG00000043522	ENSCAFG00000043522.1	1	107857565	107869372			484406		
ENSCAFG00000049814	ENSCAFG00000049814.1	1	107852598	107857544					
ENSCAFG00000000863	ENSCAFG00000000863.5	1	55537879	55588226	KIF25	VGNC Symbol			
ENSCAFG00000004575	ENSCAFG00000004575.4	1	110408058	110411744	ZNF296	VGNC Symbol	484453		
ENSCAFG00000005014	ENSCAFG00000005014.5	1	112621633	112643885	TGFB1	NCBI gene	403998	J9P0V0	TGFB1-201
ENSCAFG00000005014	ENSCAFG00000005014.5	1	112621633	112643885	TGFB1	NCBI gene	476451	J9P0V0	TGFB1-201
ENSCAFG00000005014	ENSCAFG00000005014.5	1	112621633	112643885	TGFB1	NCBI gene	403998	F1PI70	TGFB1-201
ENSCAFG00000005014	ENSCAFG00000005014.5	1	112621633	112643885	TGFB1	NCBI gene	476451	F1PI70	TGFB1-201
ENSCAFG00000005014	ENSCAFG00000005014.5	1	112621633	112643885	TGFB1	NCBI gene	403998	J9P0V0	TGFB1-202
ENSCAFG00000005014	ENSCAFG00000005014.5	1	112621633	112643885	TGFB1	NCBI gene	476451	J9P0V0	TGFB1-202
ENSCAFG00000005014	ENSCAFG00000005014.5	1	112621633	112643885	TGFB1	NCBI gene	403998	F1PI70	TGFB1-202
ENSCAFG00000005014	ENSCAFG00000005014.5	1	112621633	112643885	TGFB1	NCBI gene	476451	F1PI70	TGFB1-202
ENSCAFG00000005014	ENSCAFG00000005014.5	1	112621633	112643885	TGFB1	NCBI gene	403998	J9P0V0	TGFB1-203
ENSCAFG00000005014	ENSCAFG00000005014.5	1	112621633	112643885	TGFB1	NCBI gene	476451	J9P0V0	TGFB1-203
ENSCAFG00000005014	ENSCAFG00000005014.5	1	112621633	112643885	TGFB1	NCBI gene	403998	F1PI70	TGFB1-203
ENSCAFG00000005014	ENSCAFG00000005014.5	1	112621633	112643885	TGFB1	NCBI gene	476451	F1PI70	TGFB1-203
ENSCAFG00000005014	ENSCAFG00000005014.5	1	112621633	112643885	TGFB1	NCBI gene	403998	J9P0V0	TGFB1-204
ENSCAFG00000005014	ENSCAFG00000005014.5	1	112621633	112643885	TGFB1	NCBI gene	476451	J9P0V0	TGFB1-204
ENSCAFG00000005014	ENSCAFG00000005014.5	1	112621633	112643885	TGFB1	NCBI gene	403998	F1PI70	TGFB1-204
ENSCAFG00000005014	ENSCAFG00000005014.5	1	112621633	112643885	TGFB1	NCBI gene	476451	F1PI70	TGFB1-204
ENSCAFG00000000583	ENSCAFG00000000583.1	1	45018095	45018754	CLDN20	VGNC Symbol	608935	E2RQB9	
ENSCAFG00000000581	ENSCAFG00000000581.4	1	45001088	45071518	TFB1M	VGNC Symbol	476253	E2RQC3	
ENSCAFG00000004014	ENSCAFG00000004014.4	1	107822716	107849945	GRIN2D	VGNC Symbol	484405		
ENSCAFG00000004563	ENSCAFG00000004563.5	1	110352697	110394757	PPP1R37	VGNC Symbol	484452	E2RI72	
ENSCAFG00000004009	ENSCAFG00000004009.4	1	107815063	107820858	GRWD1	VGNC Symbol	612058	E2RBY0	
ENSCAFG00000004558	ENSCAFG00000004558.5	1	110341502	110349127	NKPD1	VGNC Symbol	484451		
ENSCAFG00000032654	ENSCAFG00000032654.2	1	112599568	112608941	EXOSC5	VGNC Symbol	611350	J9P2C4	
ENSCAFG00000004001	ENSCAFG00000004001.5	1	107806285	107809199	KCNJ14	HGNC Symbol	612053		
ENSCAFG00000045278	ENSCAFG00000045278.1	1	112577560	112578753					
ENSCAFG00000000577	ENSCAFG00000000577.4	1	44870103	45002684	TIAM2	HGNC Symbol			
ENSCAFG00000031778	ENSCAFG00000031778.2	1	110328499	110339087	TRAPPC6A	VGNC Symbol	612313		
ENSCAFG00000003993	ENSCAFG00000003993.4	1	107794560	107803016	CYTH2	VGNC Symbol	476423		
ENSCAFG00000003981	ENSCAFG00000003981.4	1	107705576	107720876	SULT2B1	VGNC Symbol	484403	F1P781	
ENSCAFG00000024085	ENSCAFG00000024085.3	1	110326843	110327442	BLOC1S3	VGNC Symbol	612307	E2RMD0	
ENSCAFG00000004534	ENSCAFG00000004534.4	1	110265043	110277519	EXOC3L2	VGNC Symbol	484450	F1PLS3	
ENSCAFG00000030190	ENSCAFG00000030190.2	1	107700586	107700936	SPACA4	VGNC Symbol	610505		
ENSCAFG00000003971	ENSCAFG00000003971.3	1	107696416	107705310	FAM83E	VGNC Symbol	612040	E2RCW4	
ENSCAFG00000005006	ENSCAFG00000005006.5	1	112574184	112615794			484488	F1PI86	
ENSCAFG00000005006	ENSCAFG00000005006.5	1	112574184	112615794			100682781	F1PI86	
ENSCAFG00000004995	ENSCAFG00000004995.4	1	112567837	112573531	DMAC2	VGNC Symbol	484486	E2RAF9	
ENSCAFG00000030737	ENSCAFG00000030737.2	1	112562437	112564498	ERICH4	VGNC Symbol	100683627	J9NU91	
ENSCAFG00000000860	ENSCAFG00000000860.6	1	55435472	55535543	AFDN	VGNC Symbol	431695		
ENSCAFG00000035737	ENSCAFG00000035737.2	1	55393903	55397668					
ENSCAFG00000048979	ENSCAFG00000048979.1	1	55374381	55377368					
ENSCAFG00000048880	ENSCAFG00000048880.1	1	55349254	55352689					
ENSCAFG00000046407	ENSCAFG00000046407.1	1	55361111	55363619					
ENSCAFG00000041449	ENSCAFG00000041449.1	1	55258494	55260618					
ENSCAFG00000033946	ENSCAFG00000033946.2	1	55251021	55282498					
ENSCAFG00000037188	ENSCAFG00000037188.2	1	55224013	55235579					
ENSCAFG00000036642	ENSCAFG00000036642.2	1	55211873	55221715					
ENSCAFG00000038962	ENSCAFG00000038962.2	1	55209500	55213144					
ENSCAFG00000048114	ENSCAFG00000048114.1	1	55183382	55185675					
ENSCAFG00000049399	ENSCAFG00000049399.1	1	55168317	55175487					
ENSCAFG00000042276	ENSCAFG00000042276.1	1	112472767	112483439					
ENSCAFG00000045923	ENSCAFG00000045923.1	1	55086419	55087363					
ENSCAFG00000043802	ENSCAFG00000043802.1	1	112462306	112466454					
ENSCAFG00000023933	ENSCAFG00000023933.3	1	112461054	112487968					
ENSCAFG00000003967	ENSCAFG00000003967.4	1	107688074	107694596	RPL18	VGNC Symbol	476422	D0VWQ3	
ENSCAFG00000000858	ENSCAFG00000000858.4	1	55053835	55092793	UNC93A	VGNC Symbol	612460	E2QT36	
ENSCAFG00000004527	ENSCAFG00000004527.4	1	110222754	110247411	MARK4	VGNC Symbol	484449		
ENSCAFG00000005957	ENSCAFG00000005957.4	1	114757864	114765602	DPF1	VGNC Symbol			
ENSCAFG00000026864	ENSCAFG00000026864.2	1	114742639	114742769	U4	RFAM			
ENSCAFG00000029018	ENSCAFG00000029018.2	1	112443993	112445932	LYPD4	VGNC Symbol	100688665	J9P1K1	
ENSCAFG00000004988	ENSCAFG00000004988.4	1	112434485	112439088	DMRTC2	VGNC Symbol	102155486		
ENSCAFG00000029248	ENSCAFG00000029248.2	1	114740117	114741910	PPP1R14A	VGNC Symbol	612579		
ENSCAFG00000023119	ENSCAFG00000023119.3	1	55034710	55045150	TTLL2	VGNC Symbol	476269		
ENSCAFG00000004507	ENSCAFG00000004507.4	1	110210152	110343383	CKM	VGNC Symbol	476435	P05123	
ENSCAFG00000003961	ENSCAFG00000003961.5	1	107680599	107689707	SPHK2	VGNC Symbol	484401		
ENSCAFG00000000570	ENSCAFG00000000570.4	1	44562567	44683903	SCAF8	VGNC Symbol			
ENSCAFG00000042715	ENSCAFG00000042715.1	1	55034561	55072810					
ENSCAFG00000048224	ENSCAFG00000048224.1	1	44545247	44549074					
ENSCAFG00000005948	ENSCAFG00000005948.4	1	114699241	114727763	SPINT2	VGNC Symbol	403665	F1P984	
ENSCAFG00000004502	ENSCAFG00000004502.4	1	110189613	110194940	KLC3	VGNC Symbol	484448	E2RN88	
ENSCAFG00000003928	ENSCAFG00000003928.4	1	107675477	107681204	DBP	VGNC Symbol	100685867	E2RRC5	
ENSCAFG00000044283	ENSCAFG00000044283.1	1	44501302	44502722					
ENSCAFG00000000854	ENSCAFG00000000854.4	1	54994480	55019883			484082		
ENSCAFG00000046426	ENSCAFG00000046426.1	1	44444979	44445123	cfa-mir-8873b	miRBase	104795021		
ENSCAFG00000042109	ENSCAFG00000042109.1	1	44370604	44492468					
ENSCAFG00000028230	ENSCAFG00000028230.2	1	44103466	44103572	U6	RFAM			
ENSCAFG00000027747	ENSCAFG00000027747.1	1	44093398	44093500	U6	RFAM			
ENSCAFG00000004980	ENSCAFG00000004980.4	1	112411281	112427381	CD79A	VGNC Symbol	476450	P0CAN6	
ENSCAFG00000004980	ENSCAFG00000004980.4	1	112411281	112427381	CD79A	VGNC Symbol	484483	P0CAN6	
ENSCAFG00000030245	ENSCAFG00000030245.2	1	107669419	107674792	CA11	VGNC Symbol	484400	E2RRF9	
ENSCAFG00000000853	ENSCAFG00000000853.4	1	54976178	54977128	GPR31	VGNC Symbol	484081		
ENSCAFG00000003938	ENSCAFG00000003938.5	1	107647674	107655020	NTN5	VGNC Symbol			
ENSCAFG00000030966	ENSCAFG00000030966.2	1	54932690	54959740	CCR6	VGNC Symbol	484080	J9P4Z8	
ENSCAFG00000023807	ENSCAFG00000023807.4	1	107636640	107650038			102151792		
ENSCAFG00000005924	ENSCAFG00000005924.4	1	114681469	114689237	YIF1B	VGNC Symbol	484532		
ENSCAFG00000039218	ENSCAFG00000039218.2	1	54887008	54891327					
ENSCAFG00000047444	ENSCAFG00000047444.1	1	54884643	54885659					
ENSCAFG00000003914	ENSCAFG00000003914.5	1	107599135	107605895	MAMSTR	VGNC Symbol	612016	F1P8W9	
ENSCAFG00000005941	ENSCAFG00000005941.5	1	114666476	114677639	KCNK6	VGNC Symbol	484531	E2QV67	
ENSCAFG00000003910	ENSCAFG00000003910.6	1	107581424	107597682	RASIP1	VGNC Symbol	484397		
ENSCAFG00000046149	ENSCAFG00000046149.1	1	107575782	107576879	FUT1	HGNC Symbol	484396		
ENSCAFG00000003904	ENSCAFG00000003904.2	1	107571446	107573281	FGF21	VGNC Symbol	484395	E2RRP8	
ENSCAFG00000004487	ENSCAFG00000004487.5	1	110173715	110190125	ERCC2	VGNC Symbol	493995		
ENSCAFG00000042819	ENSCAFG00000042819.1	1	110165935	110166821					
ENSCAFG00000000562	ENSCAFG00000000562.5	1	44070004	44363107			484042	F1PEW2	
ENSCAFG00000004459	ENSCAFG00000004459.6	1	110156749	110165915	PPP1R13L	VGNC Symbol			
ENSCAFG00000004455	ENSCAFG00000004455.5	1	110146012	110149186	CD3EAP	VGNC Symbol		F1PPC4	
ENSCAFG00000002361	ENSCAFG00000002361.5	1	99519870	99526747	ZNF584	VGNC Symbol	100684391		
ENSCAFG00000005937	ENSCAFG00000005937.5	1	114637545	114661313	CATSPERG	VGNC Symbol			
ENSCAFG00000029721	ENSCAFG00000029721.2	1	99492373	99498339	ZNF132	VGNC Symbol	100686012		
ENSCAFG00000030005	ENSCAFG00000030005.3	1	112391636	112410037			100856354	J9P8E3	
ENSCAFG00000004448	ENSCAFG00000004448.4	1	110130481	110146602	ERCC1	VGNC Symbol	612282		
ENSCAFG00000000847	ENSCAFG00000000847.4	1	54852395	54877450	FGFR1OP	VGNC Symbol	612453		
ENSCAFG00000003901	ENSCAFG00000003901.4	1	107538465	107549234	BCAT2	VGNC Symbol	484394		
ENSCAFG00000040985	ENSCAFG00000040985.1	1	43972219	44141238	OPRM1	NCBI gene	484041	A0A0F6TMT6	OPRM1-203
ENSCAFG00000040985	ENSCAFG00000040985.1	1	43972219	44141238	OPRM1	NCBI gene	484041	A0A0F6TMT6	OPRM1-202
ENSCAFG00000040985	ENSCAFG00000040985.1	1	43972219	44141238	OPRM1	NCBI gene	484041	A0A0F6TMT6	OPRM1-201
ENSCAFG00000024052	ENSCAFG00000024052.3	1	114615117	114618963	GGN	VGNC Symbol		J9NRN8	
ENSCAFG00000041396	ENSCAFG00000041396.1	1	99482926	99483333					
ENSCAFG00000049691	ENSCAFG00000049691.1	1	43264546	43470277					
ENSCAFG00000000565	ENSCAFG00000000565.3	1	99463224	99464655					
ENSCAFG00000005931	ENSCAFG00000005931.4	1	114607058	114685985	PSMD8	VGNC Symbol	476470		
ENSCAFG00000005931	ENSCAFG00000005931.4	1	114607058	114685985	PSMD8	VGNC Symbol	612575		
ENSCAFG00000000550	ENSCAFG00000000550.4	1	43174861	43264233	RGS17	VGNC Symbol	608867	F6V7Y8	
ENSCAFG00000002360	ENSCAFG00000002360.4	1	99449505	99458095					
ENSCAFG00000049375	ENSCAFG00000049375.1	1	112388020	112389617					
ENSCAFG00000005919	ENSCAFG00000005919.4	1	114597464	114602708	FAM98C	VGNC Symbol	484529	F1PW91	
ENSCAFG00000004975	ENSCAFG00000004975.4	1	112351388	112354045	RABAC1	VGNC Symbol	403535	F1P766	
ENSCAFG00000005909	ENSCAFG00000005909.4	1	114584006	114598568	RASGRP4	HGNC Symbol	484528		
ENSCAFG00000000842	ENSCAFG00000000842.5	1	54770718	54822084			612451		
ENSCAFG00000004443	ENSCAFG00000004443.3	1	110087036	110092818	FOSB	VGNC Symbol	484445	F1PQ22	
ENSCAFG00000004439	ENSCAFG00000004439.4	1	110070607	110079992	RTN2	VGNC Symbol			
ENSCAFG00000004425	ENSCAFG00000004425.4	1	110068499	110070422	PPM1N	HGNC Symbol	484443		
ENSCAFG00000000828	ENSCAFG00000000828.4	1	54416758	54757067	RPS6KA2	VGNC Symbol	612448	F6UWI0	
ENSCAFG00000031873	ENSCAFG00000031873.2	1	99441720	99454958	ZNF446	VGNC Symbol	100684106		
ENSCAFG00000004420	ENSCAFG00000004420.3	1	110050154	110062827	VASP	NCBI gene	403936	F1PRR4	VASP-203
ENSCAFG00000004420	ENSCAFG00000004420.3	1	110050154	110062827	VASP	NCBI gene	403936	F1PRR4	VASP-202
ENSCAFG00000004420	ENSCAFG00000004420.3	1	110050154	110062827	VASP	NCBI gene	403936	F1PRR4	VASP-201
ENSCAFG00000041860	ENSCAFG00000041860.1	1	54379191	54395714			609356		
ENSCAFG00000044113	ENSCAFG00000044113.1	1	54377174	54378511					
ENSCAFG00000046866	ENSCAFG00000046866.1	1	110020825	110021226					
ENSCAFG00000002356	ENSCAFG00000002356.4	1	99427807	99438944	ZBTB45	VGNC Symbol			
ENSCAFG00000032544	ENSCAFG00000032544.2	1	99414405	99415939					
ENSCAFG00000000811	ENSCAFG00000000811.4	1	54336005	54354137	SFT2D1	VGNC Symbol	476266	E2QRW2	
ENSCAFG00000004419	ENSCAFG00000004419.4	1	109976930	110048532	OPA3	VGNC Symbol		E2RIG6	
ENSCAFG00000025625	ENSCAFG00000025625.2	1	109922124	109922231	MIR330	HGNC Symbol			
ENSCAFG00000021991	ENSCAFG00000021991.1	1	54269307	54269471	U1	RFAM			
ENSCAFG00000008616	ENSCAFG00000008616.4	1	54219822	54220490					
ENSCAFG00000004958	ENSCAFG00000004958.4	1	112325289	112346916	ATP1A3	VGNC Symbol	612463		
ENSCAFG00000004409	ENSCAFG00000004409.5	1	109916766	110054505	EML2	VGNC Symbol	476434		
ENSCAFG00000000807	ENSCAFG00000000807.4	1	54183153	54192352	TBXT	VGNC Symbol	403653	Q9GL27	
ENSCAFG00000041795	ENSCAFG00000041795.1	1	54132763	54161693					
ENSCAFG00000047341	ENSCAFG00000047341.1	1	54053618	54063127					
ENSCAFG00000002354	ENSCAFG00000002354.5	1	99408925	99415146	TRIM28	VGNC Symbol			
ENSCAFG00000004930	ENSCAFG00000004930.6	1	112270424	112321672	GRIK5	VGNC Symbol	484480		
ENSCAFG00000004405	ENSCAFG00000004405.3	1	109899874	109909410	GIPR	VGNC Symbol	484439	E2RIK5	
ENSCAFG00000002352	ENSCAFG00000002352.4	1	99405337	99410163	CHMP2A	VGNC Symbol	476364		
ENSCAFG00000023764	ENSCAFG00000023764.3	1	53844931	53847509					
ENSCAFG00000000795	ENSCAFG00000000795.5	1	53462979	53801966	PDE10A	VGNC Symbol	484073		
ENSCAFG00000000549	ENSCAFG00000000549.4	1	43155419	43166691	MTRF1L	VGNC Symbol	484040		
